GAME_DATE,TEAM,TEAM_FULL,PLAYER,PTS,REB,AST,STL,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG_PCT,TS_PCT,MIN,didHit30,didHit4Threes,didHitOver_PTS,didHitOver_REB,didHitOver_AST,didHitOver_FG3M,didHitOver_STL,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT
2025-11-08,ATL,Atlanta Hawks,Dyson Daniels,10.0,8.0,13.0,1.0,5,8,62.5,0,0,0.0,0,0,0.0,62.5,62.5,36,0,0,0,1,1,0,0,10.0,10.0,0.0,0.0
2025-11-08,CLE,Cleveland Cavaliers,Evan Mobley,24.0,8.0,5.0,0.0,9,14,64.3,1,4,25.0,5,7,71.4,67.9,70.3,34,0,0,1,0,1,0,0,24.0,24.0,25.0,25.0
2025-11-08,TOR,Toronto Raptors,Gradey Dick,3.0,1.0,0.0,1.0,1,6,16.7,1,4,25.0,0,0,0.0,25.0,25.0,12,0,0,0,0,0,0,0,3.0,3.0,25.0,25.0
2025-11-08,PHX,Phoenix Suns,Grayson Allen,14.0,0.0,3.0,1.0,5,12,41.7,4,7,57.1,0,0,0.0,58.3,58.3,31,0,1,0,0,0,0,0,14.0,14.0,57.1,57.1
2025-11-08,SA,San Antonio Spurs,Harrison Barnes,15.0,2.0,0.0,0.0,6,8,75.0,3,5,60.0,0,0,0.0,93.8,93.8,28,0,0,1,0,0,0,0,15.0,15.0,60.0,60.0
2025-11-08,NO,New Orleans Pelicans,Herbert Jones,15.0,3.0,4.0,3.0,6,11,54.5,3,7,42.9,0,0,0.0,68.2,68.2,38,0,0,0,0,0,0,0,15.0,15.0,42.9,42.9
2025-11-08,DEN,Denver Nuggets,Hunter Tyson,0.0,3.0,0.0,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-11-08,TOR,Toronto Raptors,Immanuel Quickley,22.0,6.0,6.0,0.0,8,16,50.0,5,9,55.6,1,2,50.0,65.6,65.2,36,0,1,1,1,1,0,0,22.0,22.0,55.6,55.6
2025-11-08,CHI,Chicago Bulls,Isaac Okoro,19.0,4.0,3.0,0.0,5,7,71.4,3,4,75.0,6,6,100.0,92.9,98.5,33,0,0,1,0,0,0,0,19.0,19.0,75.0,75.0
2025-11-08,IND,Indiana Pacers,Isaiah Jackson,4.0,6.0,1.0,3.0,1,5,20.0,0,0,0.0,2,4,50.0,20.0,29.6,19,0,0,0,0,0,0,0,4.0,4.0,0.0,0.0
