GAME_DATE,TEAM,TEAM_FULL,PLAYER,PTS,REB,AST,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG_PCT,TS_PCT,MIN,didHit30,didHit4Threes,r3_EFG,r5_EFG,r3_TS,r5_TS,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT,STL,didHitOver_PTS,didHitOver_REB,didHitOver_AST,didHitOver_FG3M,didHitOver_STL
2025-10-28,PHI,Philadelphia 76ers,Justin Edwards,3.0,0.0,0.0,1,3,33.3,1,3,33.3,0,0,0.0,50.0,50.0,14,0,0,50.0,50.0,50.0,50.0,3.0,3.0,33.3,33.3,,,,,,
2025-10-28,NY,New York Knicks,Karl-Anthony Towns,8.0,12.0,1.0,2,12,16.7,0,3,0.0,4,4,100.0,16.7,29.1,35,0,0,16.7,16.7,29.1,29.1,8.0,8.0,0.0,0.0,,,,,,
2025-10-28,LAC,LA Clippers,Kawhi Leonard,18.0,6.0,1.0,7,17,41.2,1,4,25.0,3,3,100.0,44.1,49.1,31,0,0,44.1,44.1,49.1,49.1,18.0,18.0,25.0,25.0,,,,,,
2025-10-28,MIA,Miami Heat,Kel'el Ware,14.0,9.0,1.0,4,13,30.8,2,8,25.0,4,5,80.0,38.5,46.1,27,0,0,38.5,38.5,46.1,46.1,14.0,14.0,25.0,25.0,,,,,,
2025-10-28,PHI,Philadelphia 76ers,Kelly Oubre Jr.,17.0,11.0,1.0,5,13,38.5,3,5,60.0,4,5,80.0,50.0,55.9,44,0,0,50.0,50.0,55.9,55.9,17.0,17.0,60.0,60.0,,,,,,
2025-10-28,SAC,Sacramento Kings,Keon Ellis,12.0,2.0,0.0,4,10,40.0,2,5,40.0,2,2,100.0,50.0,55.1,27,0,0,50.0,50.0,55.1,55.1,12.0,12.0,40.0,40.0,,,,,,
2025-10-28,MIA,Miami Heat,Keshad Johnson,2.0,0.0,0.0,1,2,50.0,0,0,0.0,0,0,0.0,50.0,50.0,3,0,0,50.0,50.0,50.0,50.0,2.0,2.0,0.0,0.0,,,,,,
2025-10-28,WSH,Washington Wizards,Khris Middleton,13.0,10.0,3.0,4,11,36.4,1,3,33.3,4,4,100.0,40.9,50.9,31,0,0,40.9,40.9,50.9,50.9,13.0,13.0,33.3,33.3,,,,,,
2025-10-28,LAC,LA Clippers,Kobe Brown,2.0,1.0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,100.0,100.0,6,0,0,100.0,100.0,100.0,100.0,2.0,2.0,0.0,0.0,,,,,,
2025-10-28,CHA,Charlotte Hornets,Kon Knueppel,19.0,3.0,4.0,7,15,46.7,5,11,45.5,0,0,0.0,63.3,63.3,27,0,1,63.3,63.3,63.3,63.3,19.0,19.0,45.5,45.5,,,,,,
