PLAYER,TEAM,TEAM_FULL,GAME_DATE,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT,r3_EFG,r5_EFG,r3_TS,r5_TS
Jordan McLaughlin,SA,San Antonio Spurs,2025-11-07,4.0,4.5,33.333333333333336,41.666666666666664,29.76190476190476,41.07142857142857,31.72043010752688,42.54032258064516
Jamal Murray,DEN,Denver Nuggets,2025-11-07,17.333333333333332,18.2,27.976190476190478,29.28571428571429,50.93137254901961,52.51120448179272,56.97408444437997,58.45164485394757
Jimmy Butler III,GS,Golden State Warriors,2025-11-07,12.666666666666666,16.4,0.0,25.0,37.61904761904762,48.404761904761905,45.61378893860862,55.55600570517261
Anfernee Simons,BOS,Boston Celtics,2025-11-07,14.666666666666666,13.2,38.333333333333336,36.33333333333333,57.05128205128205,47.32600732600732,59.12476722532588,48.98740513806291
Jalen Duren,DET,Detroit Pistons,2025-11-07,22.0,24.0,0.0,0.0,63.56421356421356,65.49963924963924,68.70261025311119,72.83318620972594
Jonathan Isaac,ORL,Orlando Magic,2025-11-07,4.333333333333333,3.0,66.66666666666667,40.0,88.8888888888889,57.333333333333336,84.7517730496454,54.851063829787236
Anthony Black,ORL,Orlando Magic,2025-11-07,9.333333333333334,11.6,21.666666666666668,26.333333333333332,46.75324675324675,49.667332667332666,52.42319441744932,54.83827039196619
Tre Mann,CHA,Charlotte Hornets,2025-11-07,17.0,15.2,33.73015873015873,30.952380952380953,50.854700854700845,49.84615384615385,54.254816573657145,52.62845669482401
Dennis Schroder,SAC,Sacramento Kings,2025-11-07,12.666666666666666,13.4,20.0,30.666666666666664,31.372549019607845,38.99446958270488,38.09072970047175,44.19946706004913
Anthony Edwards,MIN,Minnesota Timberwolves,2025-11-07,26.0,26.0,50.595238095238095,50.595238095238095,61.904761904761905,61.904761904761905,64.6007721004473,64.6007721004473
Moses Moody,GS,Golden State Warriors,2025-11-07,18.0,11.4,39.01515151515151,33.40909090909091,59.158249158249156,45.494949494949495,60.87329009031988,46.523974054191925
Jonathan Kuminga,GS,Golden State Warriors,2025-11-07,13.0,16.0,13.333333333333334,24.666666666666664,44.837092731829564,50.82271018455229,47.92327966538704,55.35398346646029
Jakob Poeltl,TOR,Toronto Raptors,2025-11-07,10.0,10.0,0.0,0.0,73.33333333333333,73.33333333333333,77.7120315581854,77.7120315581854
